title,published,id,url,main_topic,all_topics,authors,year
DALE: Differential Accumulated Local Effects for efficient and accurate global explanations,2022-10-10 10:27:48+00:00,84,"""http://arxiv.org/pdf/2210.04542v1""",cs.LG,"['cs.LG', 'I.2.0']","['VASILIS GKOLEMIS', 'THEODORE DALAMAGAS', 'CHRISTOS DIOU']",2022
Local Interpretable Model Agnostic Shap Explanations for machine learning models,2022-10-10 10:07:27+00:00,85,"""http://arxiv.org/pdf/2210.04533v1""",cs.LG,"['cs.LG', 'cs.AI']","['P. SAI RAM ADITYA', 'MAYUKHA PAL']",2022
Training Spiking Neural Networks with Local Tandem Learning,2022-10-10 10:05:00+00:00,86,"""http://arxiv.org/pdf/2210.04532v1""",cs.NE,['cs.NE'],"['QU YANG', 'JIBIN WU', 'MALU ZHANG', 'YANSONG CHUA', 'XINCHAO WANG', 'HAIZHOU LI']",2022
A policy gradient approach for Finite Horizon Constrained Markov Decision Processes,2022-10-10 09:52:02+00:00,87,"""http://arxiv.org/pdf/2210.04527v1""",cs.LG,['cs.LG'],"['SOUMYAJIT GUIN', 'SHALABH BHATNAGAR']",2022
SelfMix: Robust Learning Against Textual Label Noise with Self-Mixup Training,2022-10-10 09:46:40+00:00,88,"""http://arxiv.org/pdf/2210.04525v1""",cs.CL,['cs.CL'],"['DAN QIAO', 'CHENCHEN DAI', 'YUYANG DING', 'JUNTAO LI', 'QIANG CHEN', 'WENLIANG CHEN', 'MIN ZHANG']",2022
Margin-Based Few-Shot Class-Incremental Learning with Class-Level Overfitting Mitigation,2022-10-10 09:45:53+00:00,89,"""http://arxiv.org/pdf/2210.04524v1""",cs.CV,['cs.CV'],"['YIXIONG ZOU', 'SHANGHANG ZHANG', 'YUHUA LI', 'RUIXUAN LI']",2022
Continual task learning in natural and artificial agents,2022-10-10 09:36:08+00:00,90,"""http://arxiv.org/pdf/2210.04520v1""",q-bio.NC,"['q-bio.NC', 'cs.LG']","['TIMO FLESCH', 'ANDREW SAXE', 'CHRISTOPHER SUMMERFIELD']",2022
Improving Continual Relation Extraction through Prototypical Contrastive Learning,2022-10-10 09:24:05+00:00,91,"""http://arxiv.org/pdf/2210.04513v1""",cs.IR,['cs.IR'],"['CHENGWEI HU', 'DEQING YANG', 'HAOLIANG JIN', 'ZHEN CHEN', 'YANGHUA XIAO']",2022
Multi-Modal Fusion Transformer for Visual Question Answering in Remote Sensing,2022-10-10 09:20:33+00:00,92,"""http://arxiv.org/pdf/2210.04510v1""",cs.CV,"['cs.CV', 'cs.AI']","['TIM SIEBERT', 'KAI NORMAN CLASEN', 'MAHDYAR RAVANBAKHSH', 'BEGÜM DEMIR']",2022
Scale Equivariant U-Net,2022-10-10 09:19:40+00:00,93,"""http://arxiv.org/pdf/2210.04508v1""",stat.ML,"['stat.ML', 'cs.LG']","['MATEUS SANGALLI', 'SAMY BLUSSEAU', 'SANTIAGO VELASCO-FORERO', 'JESUS ANGULO']",2022
A Survey on Heterogeneous Federated Learning,2022-10-10 09:16:43+00:00,94,"""http://arxiv.org/pdf/2210.04505v1""",cs.LG,['cs.LG'],"['DASHAN GAO', 'XIN YAO', 'QIANG YANG']",2022
Learning Robust Representations for Continual Relation Extraction via Adversarial Class Augmentation,2022-10-10 08:50:48+00:00,95,"""http://arxiv.org/pdf/2210.04497v1""",cs.CL,['cs.CL'],"['PEIYI WANG', 'YIFAN SONG', 'TIANYU LIU', 'BINGHUAI LIN', 'YUNBO CAO', 'SUJIAN LI', 'ZHIFANG SUI']",2022
Unified Detoxifying and Debiasing in Language Generation via Inference-time Adaptive Optimization,2022-10-10 08:45:25+00:00,96,"""http://arxiv.org/pdf/2210.04492v1""",cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']","['ZONGHAN YANG', 'XIAOYUAN YI', 'PENG LI', 'YANG LIU', 'XING XIE']",2022
A survey of Identification and mitigation of Machine Learning algorithmic biases in Image Analysis,2022-10-10 08:40:32+00:00,97,"""http://arxiv.org/pdf/2210.04491v1""",cs.LG,"['cs.LG', 'stat.ML']","['LAURENT RISSER', 'AGUSTIN PICARD', 'LUCAS HERVIER', 'JEAN-MICHEL LOUBES']",2022
A Memory Transformer Network for Incremental Learning,2022-10-10 08:27:28+00:00,98,"""http://arxiv.org/pdf/2210.04485v1""",cs.CV,"['cs.CV', 'cs.LG']","['AHMET ISCEN', 'THOMAS BIRD', 'MATHILDE CARON', 'ALIREZA FATHI', 'CORDELIA SCHMID']",2022
"Classification of cow diet based on milk mid infrared spectra: a data analysis competition at the ""International workshop of spectroscopy and chemometrics 2022""",2022-10-10 08:08:55+00:00,99,"""http://arxiv.org/pdf/2210.04479v1""",q-bio.QM,"['q-bio.QM', 'stat.AP']","['MARIA FRIZZARIN', 'GIULIO VISENTIN', 'ALESSANDRO FERRAGINA', 'ELENA HAYES', 'ANTONIO BEVILACQUA', 'BHASKAR DHARIYAL', 'KATARINA DOMIJAN', 'HUSSAIN KHAN', 'GEORGIANA IFRIM', 'THACH LE NGUYEN', 'JOE MEAGHER', 'LAURA MENCHETTI', 'ASHISH SINGH', 'SUZY WHORISKEY', 'ROBERT WILLIAMSON', 'MARTINA ZAPPATERRA', 'ALESSANDRO CASA']",2022
Accumulative reservoir construction: Bridging continuously relaxed and periodically refreshed extended reservoirs,2022-10-10 17:59:58+00:00,100,"""http://arxiv.org/pdf/2210.04890v1""",quant-ph,['quant-ph'],"['GABRIELA WOJTOWICZ', 'ARCHAK PURKAYASTHA', 'MICHAEL ZWOLAK', 'MAREK M. RAMS']",2022
Examining the Role of Chloride Ligands on Defect Removal in Imperfectly Attached Semiconductor Nanocrystals for 1D and 2D Attachment Cases,2022-10-10 17:54:56+00:00,101,"""http://arxiv.org/pdf/2210.04884v1""",cond-mat.mtrl-sci,['cond-mat.mtrl-sci'],"['AMY S. MCKEOWN-GREEN', 'JUSTIN C. ONDRY', 'MICHELLE F. CROOK', 'JASON J. CALVIN', 'A. PAUL ALIVISATOS']",2022
Precision test of gauge/gravity duality in D0-brane matrix model at low temperature,2022-10-10 17:52:37+00:00,102,"""http://arxiv.org/pdf/2210.04881v1""",hep-th,"['hep-th', 'hep-lat']","['STRATOS PATELOUDIS', 'GEORG BERGNER', 'MASANORI HANADA', 'ENRICO RINALDI', 'ANDREAS SCHÄFER', 'PAVLOS VRANAS', 'HIROMASA WATANABE', 'NORBERT BODENDORFER']",2022
Obvious Independence of Clones,2022-10-10 17:52:28+00:00,103,"""http://arxiv.org/pdf/2210.04880v1""",cs.GT,['cs.GT'],"['RATIP EMIN BERKER', 'SÍLVIA CASACUBERTA', 'CHRISTOPHER ONG', 'ISAAC ROBINSON']",2022
Parametric Simulation of Dynamic Glazing System with Changeable NIR Response,2022-10-10 17:47:31+00:00,104,"""http://arxiv.org/pdf/2210.04876v1""",physics.app-ph,['physics.app-ph'],"['LAURA HINKLE', 'NEDA GHAEILI ARDABILI1', 'JULIAN WANG']",2022
"Lipschitz continuity of quantum-classical conditional entropies with respect to angular distance, and related properties of angular distance",2022-10-10 17:46:58+00:00,105,"""http://arxiv.org/pdf/2210.04874v1""",quant-ph,['quant-ph'],"['MICHAEL LIU', 'FLORIAN KANITSCHAR', 'AMIR ARQAND', 'ERNEST Y. -Z. TAN']",2022
Contra-Analysis: Prioritizing Meaningful Effect Size in Scientific Research,2022-10-10 17:37:07+00:00,106,"""http://arxiv.org/pdf/2210.04867v1""",stat.ME,"['stat.ME', 'q-bio.QM']","['BRUCE A. CORLISS', 'YAOTIAN WANG', 'HEMAN SHAKERI', 'PHILIP E. BOURNE']",2022
Deep and fast Solar System flybys: The controversial case of WD 0810-353,2022-10-10 17:24:10+00:00,107,"""http://arxiv.org/pdf/2210.04863v1""",astro-ph.SR,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA']","['R. DE LA FUENTE MARCOS', 'C. DE LA FUENTE MARCOS']",2022
Sedimentation path theory for mass-polydisperse colloidal systems,2022-10-10 17:23:47+00:00,108,"""http://arxiv.org/pdf/2210.04862v1""",cond-mat.soft,"['cond-mat.soft', 'physics.class-ph']","['TOBIAS ECKERT', 'MATTHIAS SCHMIDT', 'DANIEL DE LAS HERAS']",2022
Advanced Tri-Sectoral Multi-User Millimeter-Wave Smart Repeater,2022-10-10 17:21:04+00:00,109,"""http://arxiv.org/pdf/2210.04859v1""",eess.SP,['eess.SP'],"['KAI DONG', 'SILVIA MURA', 'MAROUAN MIZMIZI', 'DARIO TAGLIAFERRI', 'UMBERTO SPAGNOLINI']",2022
Thermal Activation of Dry Sliding Friction at The Nano-scale,2022-10-10 17:03:12+00:00,110,"""http://arxiv.org/pdf/2210.04846v1""",physics.data-an,"['physics.data-an', 'cond-mat.mes-hall']","['RASOUL KHEIRI', 'ALEXEY A TSUKANOV']",2022
FS-DETR: Few-Shot DEtection TRansformer with prompting and without re-training,2022-10-10 17:03:03+00:00,111,"""http://arxiv.org/pdf/2210.04845v1""",cs.CV,"['cs.CV', 'cs.AI']","['ADRIAN BULAT', 'RICARDO GUERRERO', 'BRAIS MARTINEZ', 'GEORGIOS TZIMIROPOULOS']",2022
Loss and decoherence at the quantum Hall - superconductor interface,2022-10-10 16:59:04+00:00,112,"""http://arxiv.org/pdf/2210.04842v1""",cond-mat.mes-hall,"['cond-mat.mes-hall', 'cond-mat.supr-con']","['LINGFEI ZHAO', 'ZUBAIR IFTIKHAR', 'TREVYN F. Q. LARSON', 'ETHAN G. ARNAULT', 'KENJI WATANABE', 'TAKASHI TANIGUCHI', 'FRANCOIS AMET', 'GLEB FINKELSTEIN']",2022
Design and implementation of a device based on an off-axis parabolic mirror to perform luminescence experiments in a scanning tunneling microscope,2022-10-10 16:49:09+00:00,113,"""http://arxiv.org/pdf/2210.04833v1""",physics.ins-det,"['physics.ins-det', 'cond-mat.mtrl-sci']","['RICARDO JAVIER PEÑA ROMÁN', 'YVES AUAD', 'LUCAS GRASSO', 'LAZARO A PADILHA', 'FERNANDO ALVAREZ', 'INGRID DAVID BARCELOS', 'MATHIEU KOCIAK', 'LUIZ FERNANDO ZAGONEL']",2022
Breaking through the Mermin-Wagner limit in 2D van der Waals magnets,2022-10-10 16:44:59+00:00,114,"""http://arxiv.org/pdf/2210.04830v1""",cond-mat.mtrl-sci,"['cond-mat.mtrl-sci', 'cond-mat.mes-hall', 'cond-mat.stat-mech', 'cond-mat.str-el', 'cond-mat.supr-con']","['SARAH JENKINS', 'LEVENTE ROZSA', 'UNAI ATXITIA', 'RICHARD F. L. EVANS', 'KOSTYA S. NOVOSELOV', 'ELTON J. G. SANTOS']",2022
Efficient Analysis Routines for Single and Double Peaked Type 2 AGN Spectra,2022-10-10 16:39:54+00:00,115,"""http://arxiv.org/pdf/2210.04827v1""",astro-ph.GA,"['astro-ph.GA', 'astro-ph.IM']","['MATTHEW SELWOOD', 'GIORGIO CALDERONE', 'SOTIRIA FOTOPOULOU', 'MALCOLM BREMER']",2022
Stochastic Robustness Interval for Motion Planning with Signal Temporal Logic,2022-10-10 16:22:10+00:00,116,"""http://arxiv.org/pdf/2210.04813v1""",cs.FL,"['cs.FL', 'cs.RO', 'cs.SY', 'eess.SY']","['ROLAND B. ILYES', 'QI HENG HO', 'MORTEZA LAHIJANIAN']",2022
Topology vs localization in synthetic dimensions,2022-10-10 16:12:38+00:00,117,"""http://arxiv.org/pdf/2210.04809v1""",math-ph,"['math-ph', 'cond-mat.mes-hall', 'math.MP', '81-06, 81V70']","['DOMENICO MONACO', 'THADDEUS ROUSSIGNÉ']",2022
Generating image captions with external encyclopedic knowledge,2022-10-10 16:09:21+00:00,118,"""http://arxiv.org/pdf/2210.04806v1""",cs.CL,"['cs.CL', 'cs.CV']","['SOFIA NIKIFOROVA', 'TEJASWINI DEOSKAR', 'DENIS PAPERNO', 'YOAD WINTER']",2022
Smooth linearization of nonautonomous dynamics under polynomial behaviour,2022-10-10 16:08:38+00:00,119,"""http://arxiv.org/pdf/2210.04804v1""",math.DS,"['math.DS', 'math.CA']","['LUCAS BACKES', 'DAVOR DRAGICEVIC', 'WENMENG ZHANG']",2022
Coherent forward scattering as a robust probe of multifractality in critical disordered media,2022-10-10 15:57:48+00:00,120,"""http://arxiv.org/pdf/2210.04796v1""",cond-mat.dis-nn,"['cond-mat.dis-nn', 'cond-mat.quant-gas', 'nlin.CD']","['MAXIME MARTINEZ', 'GABRIEL LEMARIÉ', 'BERTRAND GEORGEOT', 'CHRISTIAN MINIATURA', 'OLIVIER GIRAUD']",2022
Nonlinear Data-Driven Approximation of the Koopman Operator,2022-10-10 15:54:12+00:00,121,"""http://arxiv.org/pdf/2210.04792v1""",math.DS,['math.DS'],['DAN WILSON'],2022
Tango or Square Dance? How Tightly Should we Integrate Network Functionality in Browsers?,2022-10-10 15:50:14+00:00,122,"""http://arxiv.org/pdf/2210.04791v1""",cs.NI,['cs.NI'],"['ALEX DAVIDSON', 'MATTHIAS FREI', 'MARTEN GARTNER', 'HAMED HADDADI', 'JORDI SUBIRÀ NIETO', 'ADRIAN PERRIG', 'PHILIPP WINTER', 'FRANÇOIS WIRZ']",2022
TRAPUM upper limits on pulsed radio emission for SMC X-ray pulsar J0058-7218,2022-10-10 15:43:22+00:00,123,"""http://arxiv.org/pdf/2210.04785v1""",astro-ph.HE,['astro-ph.HE'],"['E. CARLI', 'L. LEVIN', 'B. W. STAPPERS', 'E. D. BARR', 'R. P. BRETON', 'S. BUCHNER', 'M. BURGAY', 'M. KRAMER', 'P. V. PADMANABH', 'A. POSSENTI', 'V. VENKATRAMAN KRISHNAN', 'J. BEHREND', 'D. J. CHAMPION', 'W. CHEN', 'Y. P. MEN']",2022
TLS Dynamics in a Superconducting Qubit Due to Background Ionizing Radiation,2022-10-10 15:37:34+00:00,124,"""http://arxiv.org/pdf/2210.04780v1""",quant-ph,"['quant-ph', 'cond-mat.mes-hall']","['TED THORBECK', 'ANDREW EDDINS', 'ISAAC LAUER', 'DOUGLAS T. MCCLURE', 'MALCOLM CARROLL']",2022
The Critical Density for Activated Random Walks is always less than 1,2022-10-10 15:36:58+00:00,125,"""http://arxiv.org/pdf/2210.04779v1""",math.PR,"['math.PR', '60K35, 82B26']","['AMINE ASSELAH', 'NICOLAS FORIEN', 'ALEXANDRE GAUDILLIÈRE']",2022
Two-step devitrification of ultrastable glasses,2022-10-10 15:35:49+00:00,126,"""http://arxiv.org/pdf/2210.04775v1""",cond-mat.stat-mech,"['cond-mat.stat-mech', 'cond-mat.dis-nn', 'cond-mat.mtrl-sci', 'cond-mat.soft']","['CECILIA HERRERO', 'CAMILLE SCALLIET', 'M. D. EDIGER', 'LUDOVIC BERTHIER']",2022
Infrared Remote Sensing Using Low Noise Avalanche Photodiode Detector,2022-10-10 15:27:59+00:00,127,"""http://arxiv.org/pdf/2210.04770v1""",physics.ins-det,['physics.ins-det'],"['JOICE MATHEW', 'JAMES GILBERT', 'ROBERT SHARP', 'ALEXEY GRIGORIEV', 'NICOLAS CARDENA', 'MARTA YEBRA']",2022
End-to-end verifiable voting for developing countries -- what's hard in Lausanne is harder still in Lahore,2022-10-10 15:21:53+00:00,128,"""http://arxiv.org/pdf/2210.04764v1""",cs.CY,['cs.CY'],"['HINA BINTE HAQ', 'SYED TAHA ALI', 'RONAN MCDERMOTT']",2022
Conformal Fisher information metric with torsion,2022-10-10 15:14:44+00:00,129,"""http://arxiv.org/pdf/2210.04759v1""",physics.class-ph,"['physics.class-ph', 'hep-th']","['KUNAL PAL', 'KUNTAL PAL', 'TAPOBRATA SARKAR']",2022
Masked Metaphor Modeling To Transfer Literal to Metaphorical Text,2022-10-10 15:11:27+00:00,130,"""http://arxiv.org/pdf/2210.04756v1""",cs.CL,['cs.CL'],"['GIORGIO OTTOLINA', 'JOHN PAVLOPOULOS']",2022
Enhanced spin-mechanical interaction with levitated micromagnets,2022-10-10 15:07:01+00:00,131,"""http://arxiv.org/pdf/2210.04751v1""",quant-ph,"['quant-ph', 'cond-mat.mes-hall']","['XUE-FENG PAN', 'XIN-LEI HEI', 'XING-LIANG DONG', 'JIA-QIANG CHEN', 'CAI-PENG SHEN', 'HAMAD ALI', 'PENG-BO LI']",2022
Perturbation of the spectra for asymptotically constant differential operators and applications,2022-10-10 15:03:56+00:00,132,"""http://arxiv.org/pdf/2210.04748v1""",math.AP,"['math.AP', 'math.DS', 'math.FA']","['SHUANG CHEN', 'JINQIAO DUAN']",2022
An NLoS-based Enhanced Sensing Method for MmWave Communication System,2022-10-10 14:58:48+00:00,133,"""http://arxiv.org/pdf/2210.04747v1""",cs.IT,"['cs.IT', 'eess.SP', 'math.IT']","['SHIWEN HE', 'KANGLI CAI', 'SHIYUE HUANG', 'ZHENYU ANZ', 'WEI HUANG', 'NING GAO']",2022
BCS Theory in the Weak Magnetic Field Regime for Systems with Nonzero Flux and Exponential Estimates on the Adiabatic Theorem in Extended Quantum Lattice Systems,2022-10-10 14:58:33+00:00,134,"""http://arxiv.org/pdf/2210.04746v1""",math-ph,"['math-ph', 'math.MP']",['MARCEL MAIER'],2022
"Comprehensive investigation of fission yields by using spallation- and (p,2p)-induced fission reactions in inverse kinematics",2022-10-10 14:50:22+00:00,135,"""http://arxiv.org/pdf/2210.04741v1""",nucl-ex,['nucl-ex'],"['J. L. RODRÍGUEZ-SÁNCHEZ', 'A. GRAÑA-GONZÁLEZ', 'J. BENLLIURE', 'A. CHATILLON', 'G. GARCÍA-JIMÉNEZ', 'J. TAIEB', 'H. ALVAREZ-POL', 'L. ATAR', 'L. AUDOUIN', 'G. AUTHELET', 'A. BESTEIRO', 'G. BLANCHON', 'K. BORETZKY', 'P. CABANELAS', 'E. CASAREJOS', 'J. CEDERKALL', 'D. CORTINA-GIL', 'A. CORSI', 'E. DE FILIPPO', 'M. FEIJOO', 'D. GALAVIZ', 'I. GASPARIC', 'R. GERNHÄUSER', 'E. HAETTNER', 'M. HEIL', 'A. HEINZ', 'M. HOLL', 'T. JENEGGER', 'L. JI', 'H. T. JOHANSSON', 'A. KELIĆ-HEIL', 'O. A. KISELEV', 'P. KLENZE', 'A. KNYAZEV', 'D. KÖRPER', 'T. KRÖLL', 'I. LIHTAR', 'Y. A. LITVINOV', 'B. LÖHER', 'N. MARTORANA', 'P. MORFOUACE', 'D. MÜCHER', 'S. MURILLO MORALES', 'A. OBERTELLI', 'V. PANIN', 'J. PARK', 'S. PASCHALIS', 'A. PEREA', 'M. PETRI1', 'S. PIETRI', 'S. PIRRONE', 'L. PONNATH', 'A. REVEL', 'H. -B. RHEE', 'L. ROSE', 'D. M. ROSS', 'P. RUSSOTTO', 'H. SIMON', 'A. STOTT', 'Y. SUN', 'C. SÜRDER', 'R. TANIUCHI', 'O. TENGBLAD', 'H. T. TÖRNQVIST', 'M. TRIMARCHI', 'S. VELARDITA', 'J. VESIC', 'B. VOSS', 'H. WEICK']",2022
Phases with splay modulation in a system of hard wedges composed of balls,2022-10-10 14:45:42+00:00,136,"""http://arxiv.org/pdf/2210.04737v1""",cond-mat.soft,"['cond-mat.soft', 'cond-mat.mes-hall']","['PIOTR KUBALA', 'MICHAŁ CIEŚLA', 'LECH LONGA']",2022
Edge Device Deployment of Multi-Tasking Network for Self-Driving Operations,2022-10-10 14:44:02+00:00,137,"""http://arxiv.org/pdf/2210.04735v1""",cs.CV,['cs.CV'],"['SHOKHRUKH MIRALIEV', 'SHAKHBOZ ABDIGAPPOROV', 'JUMABEK ALIKHANOV', 'VIJAY KAKANI', 'HAKIL KIM']",2022
The Foil: Capture-Avoiding Substitution With No Sharp Edges,2022-10-10 14:36:15+00:00,138,"""http://arxiv.org/pdf/2210.04729v1""",cs.PL,['cs.PL'],"['DOUGAL MACLAURIN', 'ALEXEY RADUL', 'ADAM PASZKE']",2022
A hyperbolic-elliptic PDE model and conservative numerical method for gravity-dominated variably-saturated groundwater flow,2022-10-10 14:28:21+00:00,139,"""http://arxiv.org/pdf/2210.04724v1""",physics.comp-ph,"['physics.comp-ph', 'physics.flu-dyn', 'physics.geo-ph']","['MOHAMMAD AFZAL SHADAB', 'MARC ANDRE HESSE']",2022
First-passage probability estimation of high-dimensional nonlinear stochastic dynamic systems by a fractional moments-based mixture distribution approach,2022-10-10 14:17:01+00:00,140,"""http://arxiv.org/pdf/2210.04715v1""",stat.ME,['stat.ME'],"['CHEN DING', 'CHAO DANG', 'MARCOS A. VALDEBENITO', 'MATTHIAS G. R. FAES', 'MATTEO BROGGI', 'MICHAEL BEER']",2022
Empowering the Fact-checkers! Automatic Identification of Claim Spans on Twitter,2022-10-10 14:08:46+00:00,141,"""http://arxiv.org/pdf/2210.04710v1""",cs.CL,['cs.CL'],"['MEGHA SUNDRIYAL', 'ATHARVA KULKARNI', 'VAIBHAV PULASTYA', 'MD SHAD AKHTAR', 'TANMOY CHAKRABORTY']",2022
Error analysis of a backward Euler positive preserving stabilized scheme for a Chemotaxis system,2022-10-10 14:08:40+00:00,142,"""http://arxiv.org/pdf/2210.04709v1""",math.NA,"['math.NA', 'cs.NA', '65M60, 65M15']","['PANAGIOTIS CHATZIPANDELIDIS', 'CHRISTOS PERVOLIANAKIS']",2022
Laminar chaos in systems with quasiperiodic delay,2022-10-10 14:03:21+00:00,143,"""http://arxiv.org/pdf/2210.04706v1""",nlin.CD,['nlin.CD'],"['DAVID MÜLLER-BENDER', 'GÜNTER RADONS']",2022
Readability Controllable Biomedical Document Summarization,2022-10-10 14:03:20+00:00,144,"""http://arxiv.org/pdf/2210.04705v1""",cs.CL,['cs.CL'],"['ZHEHENG LUO', 'QIANQIAN XIE', 'SOPHIA ANANIADOU']",2022
Dielectric response of a ferroelectric nematic liquid crystalline phase in thin cells,2022-10-10 13:47:06+00:00,145,"""http://arxiv.org/pdf/2210.04697v1""",cond-mat.soft,['cond-mat.soft'],"['NATAŠA VAUPOTIČ', 'DAMIAN POCIECHA', 'PAULINA RYBAK', 'JOANNA MATRASZEK', 'MOJCA ČEPIČ', 'JOANNA M. WOLSKA', 'EWA GORECKA']",2022
Beamforming approaches toward detecting the 21-cm global signal from Cosmic Dawn with radio array telescopes,2022-10-10 13:40:30+00:00,146,"""http://arxiv.org/pdf/2210.04693v1""",astro-ph.IM,"['astro-ph.IM', 'astro-ph.CO']",['DANNY C. PRICE'],2022
End-to-End QoS for the Open Source Safety-Relevant RISC-V SELENE Platform,2022-10-10 13:32:23+00:00,147,"""http://arxiv.org/pdf/2210.04683v1""",cs.AR,['cs.AR'],"['PABLO ANDREU', 'CARLES HERNANDEZ', 'TOMAS PICORNELL', 'PEDRO LOPEZ', 'SERGI ALCAIDE', 'FRANCISCO BAS', 'PEDRO BENEDICTE', 'GUILLEM CABO', 'FENG CHANG', 'FRANCISCO FUENTES', 'JAUME ABELLA']",2022
Probing the distant universe with a very luminous fast radio burst at redshift 1,2022-10-10 13:31:24+00:00,148,"""http://arxiv.org/pdf/2210.04680v1""",astro-ph.HE,"['astro-ph.HE', 'astro-ph.CO']","['STUART D. RYDER', 'KEITH W. BANNISTER', 'S. BHANDARI', 'A. T. DELLER', 'R. D. EKERS', 'MARCIN GLOWACKI', 'ALEXA C. GORDON', 'KELLY GOURDJI', 'C. W. JAMES', 'CHARLES D. KILPATRICK', 'WENBIN LU', 'LACHLAN MARNOCH', 'V. A. MOSS', 'J. XAVIER PROCHASKA', 'HAO QIU', 'ELAINE M. SADLER', 'SUNIL SIMHA', 'MAWSON W. SAMMONS', 'DANICA R. SCOTT', 'NICOLAS TEJOS', 'R. M. SHANNON']",2022
UAV Placement for Real-time Video Acquisition: A Tradeoff between Resolution and Delay,2022-10-10 13:27:19+00:00,149,"""http://arxiv.org/pdf/2210.04677v1""",cs.MM,['cs.MM'],"['TANG XIAO-WEI', 'HUANG XIN-LIN HUANG']",2022
Population spiking and bursting in next generation neural masses with spike-frequency adaptation,2022-10-10 13:24:16+00:00,150,"""http://arxiv.org/pdf/2210.04673v1""",cond-mat.dis-nn,"['cond-mat.dis-nn', 'math.DS', 'nlin.AO', 'physics.bio-ph', 'q-bio.NC']","['ALBERTO FERRARA', 'DAVID ANGULO-GARCIA', 'ALESSANDRO TORCINI', 'SIMONA OLMI']",2022
Evaluating Point Cloud Quality via Transformational Complexity,2022-10-10 13:20:51+00:00,151,"""http://arxiv.org/pdf/2210.04671v1""",cs.CV,"['cs.CV', 'cs.MM']","['YUJIE ZHANG', 'QI YANG', 'YIFEI ZHOU', 'XIAOZHONG XU', 'LE YANG', 'YILING XU']",2022
Charge distribution and spin textures in magic-angle twisted bilayer graphene,2022-10-10 13:20:38+00:00,152,"""http://arxiv.org/pdf/2210.04670v1""",cond-mat.str-el,['cond-mat.str-el'],"['A. O. SBOYCHAKOV', 'A. V. ROZHKOV', 'A. L. RAKHMANOV']",2022
Weak field and slow motion limits in energy-momentum powered gravity,2022-10-10 13:15:50+00:00,153,"""http://arxiv.org/pdf/2210.04668v1""",gr-qc,['gr-qc'],"['OZGUR AKARSU', 'A. KAZIM CAMLIBEL', 'NIHAN KATIRCI', 'IBRAHIM SEMIZ', 'N. MERVE UZUN']",2022
The MADPSZ catalogue of Planck clusters over the DES region: extending to lower mass and higher redshift,2022-10-10 13:11:15+00:00,154,"""http://arxiv.org/pdf/2210.04666v1""",astro-ph.CO,['astro-ph.CO'],"['D. HERNÁNDEZ-LANG', 'J. J. MOHR', 'M. KLEIN', 'S. GRANDIS', 'J. -B. MELIN', 'P. TARRÍO', 'M. ARNAUD', 'G. W. PRATT', 'T. M. C. ABBOTT', 'M. AGUENA', 'O. ALVES', 'F. ANDRADE-OLIVEIRA', 'D. BACON', 'E. BERTIN', 'D. BROOKS', 'D. L. BURKE', 'A. CARNERO ROSELL', 'M. CARRASCO KIND', 'J. CARRETERO', 'F. J. CASTANDER', 'M. COSTANZI', 'L. N. DA COSTA', 'M. E. S. PEREIRA', 'S. DESAI', 'H. T. DIEHL', 'P. DOEL', 'S. EVERETT', 'I. FERRERO', 'B. FLAUGHER', 'J. FRIEMAN', 'J. GARCÍA-BELLIDO', 'D. GRUEN', 'R. A. GRUENDL', 'J. GSCHWEND', 'G. GUTIERREZ', 'S. R. HINTON', 'D. L. HOLLOWOOD', 'K. HONSCHEID', 'D. J. JAMES', 'K. KUEHN', 'N. KUROPATKIN', 'O. LAHAV', 'C. LIDMAN', 'P. MELCHIOR', 'J. MENA-FERNÁNDEZ', 'F. MENANTEAU', 'R. MIQUEL', 'A. PALMESE', 'F. PAZ-CHINCHÓN', 'A. PIERES', 'A. A. PLAZAS MALAGÓN', 'M. RAVERI', 'M. RODRIGUEZ-MONROY', 'A. K. ROMER', 'V. SCARPINE', 'I. SEVILLA-NOARBE', 'M. SMITH', 'E. SUCHYTA', 'G. TARLE', 'D. THOMAS', 'N. WEAVERDYCK']",2022
Star-forming site RAFGL 5085: Is a perfect candidate of hub-filament system ?,2022-10-10 13:07:40+00:00,155,"""http://arxiv.org/pdf/2210.04658v1""",astro-ph.GA,['astro-ph.GA'],"['L. K. DEWANGAN', 'N. K. BHADARI', 'A. K. MAITY', 'RAKESH PANDEY', 'SAURABH SHARMA', 'T. BAUG', 'C. ESWARAIAH']",2022
Fully nonlinear Jeans instabilities for expanding Newtonian universes under homogeneous and isotropic perturbations,2022-10-10 12:59:54+00:00,156,"""http://arxiv.org/pdf/2210.04657v1""",gr-qc,"['gr-qc', 'astro-ph.CO', 'math-ph', 'math.MP']",['CHAO LIU'],2022
Communication between agents in dynamic epistemic logic,2022-10-10 12:57:32+00:00,157,"""http://arxiv.org/pdf/2210.04656v1""",cs.LO,"['cs.LO', 'cs.MA', '03B42 (Primary), 03B45, 03B70, 68T27']",['FERNANDO R. VELÁZQUEZ-QUESADA'],2022
