title,published,id,url,main_topic,all_topics,authors,year
Knowledge Distillation Transfer Sets and their Impact on Downstream NLU Tasks,2022-10-10 16:49:52+00:00,21,"""http://arxiv.org/pdf/2210.04834v1""",cs.CL,"['cs.CL', 'cs.AI']","['CHARITH PERIS', 'LIZHEN TAN', 'THOMAS GUEUDRE', 'TURAN GOJAYEV', 'VIVI WEI', 'GOKMEN OZ']",2022
Visual Prompt Tuning for Test-time Domain Adaptation,2022-10-10 16:45:13+00:00,22,"""http://arxiv.org/pdf/2210.04831v1""",cs.CV,['cs.CV'],"['YUNHE GAO', 'XINGJIAN SHI', 'YI ZHU', 'HAO WANG', 'ZHIQIANG TANG', 'XIONG ZHOU', 'MU LI', 'DIMITRIS N. METAXAS']",2022
Data types as a more ergonomic frontend for Grammar-Guided Genetic Programming,2022-10-10 16:38:16+00:00,23,"""http://arxiv.org/pdf/2210.04826v1""",cs.PL,"['cs.PL', 'cs.LG', 'cs.NE']","['GUILHERME ESPADA', 'LEON INGELSE', 'PAULO CANELAS', 'PEDRO BARBOSA', 'ALCIDES FONSECA']",2022
Driving and characterizing nucleation of urea and glycine polymorphs in water,2022-10-10 16:33:36+00:00,24,"""http://arxiv.org/pdf/2210.04822v1""",cond-mat.soft,"['cond-mat.soft', 'cond-mat.stat-mech']","['ZIYUE ZOU', 'ERIC BEYERLE', 'SUN-TING TSAI', 'PRATYUSH TIWARY']",2022
Long N-step Surrogate Stage Reward to Reduce Variances of Deep Reinforcement Learning in Complex Problems,2022-10-10 16:32:10+00:00,25,"""http://arxiv.org/pdf/2210.04820v1""",cs.LG,['cs.LG'],"['JUNMIN ZHONG', 'RUOFAN WU', 'JENNIE SI']",2022
Efficient Learning of Locomotion Skills through the Discovery of Diverse Environmental Trajectory Generator Priors,2022-10-10 16:31:11+00:00,26,"""http://arxiv.org/pdf/2210.04819v1""",cs.NE,"['cs.NE', 'cs.AI', 'cs.LG', 'cs.RO']","['SHIKHA SURANA', 'BRYAN LIM', 'ANTOINE CULLY']",2022
Do you pay for Privacy in Online learning?,2022-10-10 16:26:55+00:00,27,"""http://arxiv.org/pdf/2210.04817v1""",cs.LG,"['cs.LG', 'cs.CR']","['AMARTYA SANYAL', 'GIORGIA RAMPONI']",2022
Ensemble Learning using Transformers and Convolutional Networks for Masked Face Recognition,2022-10-10 16:25:13+00:00,28,"""http://arxiv.org/pdf/2210.04816v1""",cs.CV,"['cs.CV', 'cs.LG']","['MOHAMMED R. AL-SINAN', 'ASEEL F. HANEEF', 'HAMZAH LUQMAN']",2022
Truncated proposals for scalable and hassle-free simulation-based inference,2022-10-10 16:25:04+00:00,29,"""http://arxiv.org/pdf/2210.04815v1""",stat.ML,"['stat.ML', 'cs.LG']","['MICHAEL DEISTLER', 'PEDRO J GONCALVES', 'JAKOB H MACKE']",2022
Bayesian Sparse Regression for Mixed Multi-Responses with Application to Runtime Metrics Prediction in Fog Manufacturing,2022-10-10 16:14:08+00:00,30,"""http://arxiv.org/pdf/2210.04811v1""",stat.ME,"['stat.ME', 'stat.ML', '62F15', 'G.3']","['XIAOYU CHEN', 'XIAONING KANG', 'RAN JIN', 'XINWEI DENG']",2022
Towards a Theoretical Foundation of Policy Optimization for Learning Control Policies,2022-10-10 16:13:34+00:00,31,"""http://arxiv.org/pdf/2210.04810v1""",math.OC,"['math.OC', 'cs.LG', 'stat.ML']","['BIN HU', 'KAIQING ZHANG', 'NA LI', 'MEHRAN MESBAHI', 'MARYAM FAZEL', 'TAMER BAŞAR']",2022
Efficient NTK using Dimensionality Reduction,2022-10-10 16:11:03+00:00,32,"""http://arxiv.org/pdf/2210.04807v1""",cs.LG,['cs.LG'],"['NIR AILON', 'SUPRATIM SHIT']",2022
Using Whole Slide Image Representations from Self-Supervised Contrastive Learning for Melanoma Concordance Regression,2022-10-10 16:07:41+00:00,33,"""http://arxiv.org/pdf/2210.04803v1""",cs.CV,"['cs.CV', 'cs.AI', 'eess.IV']","['SEAN GRULLON', 'VAUGHN SPURRIER', 'JIAYI ZHAO', 'COREY CHIVERS', 'YANG JIANG', 'KIRAN MOTAPARTHI', 'MICHAEL BONHAM', 'JULIANNA IANNI']",2022
